timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-04 19:43:00,44083.76,44104.18,44082.47,44082.97,20.77647,2024-01-04 19:43:59.999,916124.1342754,925,9.29372,409787.8533845,0
2024-01-04 19:44:00,44082.98,44103.78,44072.75,44099.32,20.43903,2024-01-04 19:44:59.999,901140.2789745,1061,12.09144,533081.4245161,0
2024-01-04 19:45:00,44099.32,44099.32,44056.0,44060.95,16.54474,2024-01-04 19:45:59.999,729443.1854706,843,8.75505,385984.3307027,0
2024-01-04 19:46:00,44061.11,44067.62,43921.1,43942.3,104.26314,2024-01-04 19:46:59.999,4585283.1090995,4291,22.2655,978969.2646712,0
2024-01-04 19:47:00,43942.31,43973.02,43942.3,43965.87,27.94413,2024-01-04 19:47:59.999,1228383.0758276,1869,13.0552,573868.5432439,0
2024-01-04 19:48:00,43965.88,44008.1,43962.89,43974.0,41.17372,2024-01-04 19:48:59.999,1811256.7273919,1359,12.29896,541041.5054274,0
2024-01-04 19:49:00,43973.99,44031.1,43973.99,44016.01,25.31582,2024-01-04 19:49:59.999,1114189.2659686,1046,17.51155,770669.6763938,0
2024-01-04 19:50:00,44016.01,44086.44,44011.1,44080.73,46.09737,2024-01-04 19:50:59.999,2031386.002636,1344,37.21089,1639794.5808797,0
2024-01-04 19:51:00,44080.73,44080.74,44042.2,44065.3,16.57176,2024-01-04 19:51:59.999,730085.3583351,968,8.70991,383685.3237079,0
2024-01-04 19:52:00,44065.29,44065.3,44021.36,44022.01,27.77815,2024-01-04 19:52:59.999,1223240.817486,1185,11.42895,503206.095142,0
2024-01-04 19:53:00,44022.0,44027.73,43978.02,43984.08,26.56293,2024-01-04 19:53:59.999,1168731.2578988,960,9.16882,403405.300412,0
2024-01-04 19:54:00,43984.08,43984.09,43939.03,43959.99,24.80947,2024-01-04 19:54:59.999,1090617.0444058,1232,7.49777,329578.4395147,0
2024-01-04 19:55:00,43959.99,44000.0,43910.01,44000.0,36.86815,2024-01-04 19:55:59.999,1620456.5647938,1638,20.34209,894195.1905519,0
2024-01-04 19:56:00,44000.0,44000.0,43941.12,43960.0,30.13791,2024-01-04 19:56:59.999,1325334.1100906,1145,12.21432,537070.8523897,0
